LMO3,PCSK5,VSIG1,BACH2,PDGFRB,CR2,RASL11A,RTN2,LGR6,TPT1,TNS3,DUSP6,ITGB1BP2,FAM83A,AZGP1,SCGB3A1,IFI27,STK32A,METRNL,SIX5,CD163L1,PCDHB9,LDLRAD3,ALOX15B,GLTPD2,DCUN1D3,TPSB2,ERVMER341,MTRNR2L12,AC005832.4,TBCE,group
4,1425,22,24,95,6,58,0,7,4619,175,328,20,467,144,67,345,0,329,17,0,25,1,25,119,364,0,93,113,0,119,0
26,517,46,25,94,14,21,163,32,16454,262,563,17,7256,94,5,397,18,559,79,35,12,86,18,39,423,44,46,448,0,2067,0
2,55,0,1,9,0,7,34,19,4597,59,51,0,176,14,71,50,2,29,18,0,0,0,5,2,4,0,41,8,15,737,0
2,311,15,75,270,0,72,7,17,15402,195,98,0,167,59,147,407,5,76,92,5,1,0,94,67,128,0,85,170,1,1178,0
5,93,16,7,59,8,1,14,16,18627,181,229,3,656,60,82,393,3,169,64,7,9,0,9,14,786,7,40,92,8,281,0
1,159,0,11,2,0,19,2,10,890,12,22,0,234,18,4,532,0,19,5,0,0,0,0,11,38,0,0,8,0,87,0
25,3440,37,17,102,11,18,120,6,7014,84,587,22,723,17,49,271,7,441,94,1,20,5,0,42,643,19,21,544,0,382,0
1,156,42,50,0,5,2,9,14,1770,451,825,6,112,5,1,159,0,259,2,15,4,102,1,35,1154,2,6,0,1,147,0
0,97,14,132,3,7,1,44,28,6384,97,53,2,313,19,533,302,0,224,53,21,1,0,2,17,65,0,39,5,29,81,0
11,338,44,78,30,50,16,61,20,7493,2040,1146,11,4964,27,3,1545,4,856,59,48,17,143,11,41,962,34,5,108,0,1332,0
3,315,32,19,6,18,17,8,15,1938,46,27,10,909,37,0,92,1,22,30,0,45,0,7,0,33,4,6,5,8,193,0
123,1902,57,117,42,104,14,48,140,15896,495,509,30,17642,379,1008,1582,34,236,271,20,25,18,85,59,424,13,75,94,0,7206,0
0,307,17,7,162,0,60,33,9,10509,119,204,0,1674,121,67,430,4,335,60,16,19,10,16,7,308,7,49,66,23,7827,0
2,55,8,4,0,0,4,5,31,4851,115,48,3,677,32,15,24,0,58,48,0,0,0,20,14,35,0,38,7,20,808,0
16,148,0,2,129,0,0,3,22,11791,144,150,0,198,28,129,343,0,76,22,0,1,15,31,9,880,0,31,310,0,809,0
3,972,20,43,25,8,40,70,5,3124,79,447,8,571,52,15,148,2,488,36,0,4,5,2,80,506,20,7,335,0,230,0
2,45,0,0,2,0,0,9,17,1467,20,48,0,195,16,0,87,35,51,9,0,0,6,22,13,62,3,24,19,5,265,0
1,108,4,38,2,6,12,35,22,2271,279,256,2,651,77,51,317,0,172,18,101,10,29,4,14,145,8,32,9,0,543,0
0,82,0,0,4,13,0,0,38,412,46,28,0,1157,57,10,41,0,145,0,0,0,0,3,13,3,0,0,9,0,3279,0
42,430,24,45,1,51,28,62,51,3934,95,249,25,1183,34,60,116,6,44,25,0,65,25,59,20,165,5,45,0,21,99,0
